D,chi2,delta_chi2,objective,tile_id,weight_mode
0.0031622776601683794,0.5038163771720117,0.4248211542032054,weighted_least_squares,5,sigma
0.004216965034285823,0.9626142318540921,0.8836190088852859,weighted_least_squares,5,sigma
0.005623413251903491,1.6997587649721555,1.6207635420033493,weighted_least_squares,5,sigma
0.007498942093324558,2.78260506481105,2.7036098418422436,weighted_least_squares,5,sigma
0.01,4.246681608903961,4.167686385935155,weighted_least_squares,5,sigma
0.01333521432163324,6.057215103383531,5.978219880414725,weighted_least_squares,5,sigma
0.01778279410038923,8.092040776255079,8.013045553286272,weighted_least_squares,5,sigma
0.023713737056616554,10.183865079748282,10.104869856779475,weighted_least_squares,5,sigma
0.03162277660168379,12.189064848525389,12.110069625556582,weighted_least_squares,5,sigma
0.042169650342858224,14.029795331789323,13.950800108820516,weighted_least_squares,5,sigma
0.05623413251903491,15.692723812786788,15.613728589817981,weighted_least_squares,5,sigma
0.07498942093324558,17.1987849530921,17.119789730123294,weighted_least_squares,5,sigma
0.1,18.576092832584397,18.49709760961559,weighted_least_squares,5,sigma
1e-06,0.18043309700671079,0.12240687947543304,weighted_least_squares,6,sigma
1.333521432163324e-06,0.18034084289224867,0.12231462536097092,weighted_least_squares,6,sigma
1.778279410038923e-06,0.18021787334554637,0.12219165581426862,weighted_least_squares,6,sigma
2.3713737056616552e-06,0.18005398581613727,0.12202776828485952,weighted_least_squares,6,sigma
3.162277660168379e-06,0.17983560645578014,0.1218093889245024,weighted_least_squares,6,sigma
4.216965034285822e-06,0.1795446919799585,0.12151847444868076,weighted_least_squares,6,sigma
5.623413251903491e-06,0.17915728327331026,0.12113106574203251,weighted_least_squares,6,sigma
7.498942093324558e-06,0.1786416114107997,0.12061539387952196,weighted_least_squares,6,sigma
1e-05,0.1779556343214727,0.11992941679019496,weighted_least_squares,6,sigma
1.333521432163324e-05,0.17704386112499632,0.11901764359371857,weighted_least_squares,6,sigma
1.778279410038923e-05,0.17583331277534756,0.1178070952440698,weighted_least_squares,6,sigma
2.3713737056616554e-05,0.1742284836885456,0.11620226615726785,weighted_least_squares,6,sigma
3.1622776601683795e-05,0.17210523993440674,0.11407902240312899,weighted_least_squares,6,sigma
4.216965034285822e-05,0.16930378318933356,0.11127756565805581,weighted_least_squares,6,sigma
5.623413251903491e-05,0.1656212250551761,0.10759500752389835,weighted_least_squares,6,sigma
7.498942093324559e-05,0.16080516795655678,0.10277895042527903,weighted_least_squares,6,sigma
0.0001,0.1545513464491294,0.09652512891785166,weighted_least_squares,6,sigma
0.0001333521432163324,0.14651152218602517,0.08848530465474742,weighted_least_squares,6,sigma
0.00017782794100389227,0.13632367081359958,0.07829745328232184,weighted_least_squares,6,sigma
0.00023713737056616554,0.1236872382405972,0.06566102070931945,weighted_least_squares,6,sigma
0.00031622776601683794,0.10852577985607056,0.050499562324792815,weighted_least_squares,6,sigma
0.00042169650342858224,0.09131451072218343,0.03328829319090568,weighted_least_squares,6,sigma
0.0005623413251903491,0.07371308730833616,0.01568686977705841,weighted_least_squares,6,sigma
0.0007498942093324559,0.05975414134922827,0.001727923817950519,weighted_least_squares,6,sigma
0.001,0.05802621753127775,0.0,weighted_least_squares,6,sigma
0.001333521432163324,0.08559427273662115,0.027568055205343403,weighted_least_squares,6,sigma
0.0017782794100389228,0.1748399288789311,0.11681371134765335,weighted_least_squares,6,sigma
0.0023713737056616554,0.38486081656722293,0.3268345990359452,weighted_least_squares,6,sigma
0.0031622776601683794,0.8189448699413074,0.7609186524100297,weighted_least_squares,6,sigma
0.004216965034285823,1.6470623936483122,1.5890361761170344,weighted_least_squares,6,sigma
0.005623413251903491,3.123311892674789,3.065285675143511,weighted_least_squares,6,sigma
0.007498942093324558,5.5693850968680065,5.511358879336729,weighted_least_squares,6,sigma
0.01,9.278968174579878,9.2209419570486,weighted_least_squares,6,sigma
