edge_u,edge_v,flow_sign,geometry_source,length_m,radius_m,tile_id
16577,16627,-1.0,radius_adapted_m+length_true,2.5590068146103927e-05,1.8129854586881095e-06,3
16587,16592,1.0,radius_adapted_m+length_true,5.204176062247641e-05,2.7633382085055275e-06,3
16589,16627,-1.0,radius_adapted_m+length_true,6.348931817456429e-05,2.366806242589337e-06,3
16600,16614,-1.0,radius_adapted_m+length_true,7.620527639826381e-05,2.5196357660731726e-06,3
16614,16638,1.0,radius_adapted_m+length_true,4.06930214010171e-05,3.644899693838767e-06,3
16627,16638,-1.0,radius_adapted_m+length_true,4.101444553283373e-05,2.392643992390388e-06,3
16640,19142,-1.0,radius_adapted_m+length_true,6.191229727247129e-05,2.5610895840548766e-06,3
16640,16655,1.0,radius_adapted_m+length_true,7.203343626313061e-05,2.433911632504398e-06,3
16655,17979,-1.0,radius_adapted_m+length_true,5.5452696123704074e-05,2.513048023795089e-06,3
17675,17711,-1.0,radius_adapted_m+length_true,5.72056350083209e-05,2.519897483056047e-06,3
17711,17735,1.0,radius_adapted_m+length_true,7.686181933106657e-05,2.86849649147623e-06,3
17711,17727,-1.0,radius_adapted_m+length_true,6.630886482552135e-05,2.6374947203294e-06,3
17727,17895,-1.0,radius_adapted_m+length_true,5.394308446419406e-05,2.5577998660911387e-06,3
17744,17920,-1.0,radius_adapted_m+length_true,6.443327364905068e-05,3.3823886312905424e-06,3
17895,18018,-1.0,radius_adapted_m+length_true,5.447463752020669e-05,3.7480054944029164e-06,3
17895,17921,1.0,radius_adapted_m+length_true,6.433382917315721e-05,1.627700622283783e-06,3
17920,17921,-1.0,radius_adapted_m+length_true,3.191558395322098e-05,2.702532901477305e-06,3
17921,17947,-1.0,radius_adapted_m+length_true,4.9688611017597856e-05,1.8803169169478523e-06,3
17947,17983,-1.0,radius_adapted_m+length_true,6.491390677382998e-05,2.250564808245369e-06,3
17964,18015,1.0,radius_adapted_m+length_true,3.150277668932019e-05,2.5626142025071693e-06,3
17964,19149,-1.0,radius_adapted_m+length_true,6.382684019602978e-05,1.9530256382585964e-06,3
17964,17979,-1.0,radius_adapted_m+length_true,3.718623714209384e-05,2.549154154751393e-06,3
17979,19142,-1.0,radius_adapted_m+length_true,6.052430690886958e-05,2.458711818030263e-06,3
17983,18015,-1.0,radius_adapted_m+length_true,4.377091024634501e-05,2.4847168020555153e-06,3
18649,18747,-1.0,radius_adapted_m+length,0.00013116642893338794,4.596610347830179e-06,3
18649,18737,-1.0,radius_adapted_m+length,9.498344024871148e-05,3.670183292740275e-06,3
18673,18690,-1.0,radius_adapted_m+length,6.339366674847937e-05,2.2645331924274312e-06,3
18673,18697,-1.0,radius_adapted_m+length,3.4080347855550035e-05,2.3194592762372273e-06,3
18690,18741,-1.0,radius_adapted_m+length,6.095066823995294e-05,2.7062162891157535e-06,3
18696,18842,-1.0,radius_adapted_m+length,5.1834592143377475e-05,2.0503634415487653e-06,3
18697,18737,-1.0,radius_adapted_m+length,4.9062398244455776e-05,1.4044628501545301e-06,3
